item_id,reviewer_issue,status,evidence_status,evidence_paths,missing_evidence,allowed_wording,forbidden_wording,notes
R01,Pseudo-swarm is not real swarm validation,limitation,complete,docs/LIMITATIONS_Q1_UPGRADE.md;docs/REAL_DETECTOR_VISDRONE.md,,VisDrone is single-camera real-detector validation; controlled replay is a track-initiation extension.,Validated real UAV swarm; replacement for synchronized multi-UAV datasets.,No new multi-UAV dataset was added by design.
R02,F1 gain is small; task should focus on false-new tracks,supported,complete,outputs/results/q1_final_plus/tradeoff_yolov8s/tradeoff_points.csv;outputs/results/q1_final_plus/confidence_threshold_baseline_yolov8s/confidence_threshold_claim_safe.md,,The trust layer reduces false-new tracks with bounded F1 loss; matched-cleanliness comparisons are primary.,The method improves overall tracking F1.,YOLOv8s ByteTrack trust point reduces false-new tracks from 6838 to 4799.
R03,Confidence threshold may explain the effect,supported,complete,outputs/results/q1_final_plus/confidence_threshold_baseline_yolov8s/confidence_threshold_summary.csv;outputs/results/q1_final_plus/tradeoff_yolov8s/tradeoff_claim_safe.md,,"At comparable false-new counts, trust preserves more F1 than the tested fixed confidence threshold.",Trust universally dominates all confidence thresholds.,The closest-cleanliness threshold 0.2 has lower F1 than the trust point.
R04,Bayesian filter dominates the selected trust point,limitation,complete,outputs/results/q1_final_plus/simple_fusion_baselines/simple_fusion_summary.csv;outputs/results/q1_final_plus/simple_fusion_baselines/simple_fusion_claim_safe.md,,Bayesian existence is the stronger numerical baseline in controlled replay; trust remains interpretable/no-label.,Bayesian requires a learned model; trust beats simple fusion baselines.,The generated claim-safe note explicitly records Bayesian dominance.
R05,Simple fusion baselines are not cooperative perception SOTA,closed,complete,docs/LIMITATIONS_Q1_UPGRADE.md;outputs/results/q1_final_plus/simple_fusion_baselines/simple_fusion_claim_safe.md,,"Simple fusion rules are track-confirmation references, not CoBEVFusion/V2X-Real analogues.",Simple fusion baselines represent cooperative perception SOTA.,Full cooperative perception remains future work.
R06,Min-rule guarantee does not cover temporal recovery,partial,complete,docs/REVIEWER_RESPONSE_CLAIM_SAFE_V18.md;src/defense4uavswarm/q1_v5/trust_layer.py,,Strict mode is noncompensatory; balanced mode uses temporal recovery and weakens the guarantee.,The complete deployed decision rule is fully noncompensatory.,Article text must keep strict and balanced modes separate.
R07,Kinematic feature may be redundant,supported,complete,outputs/results/q1_final_plus/feature_ablation_final_controlled/feature_ablation_summary.csv;outputs/results/q1_final_plus/feature_ablation_final_controlled/feature_ablation_claim_safe.md,,Geometry/temporal channels are the main practical contributors; kinematic support is not claimed as dominant.,Each channel independently improves the result.,"The safe claim is feature-set trade-off, not guaranteed marginal utility for every channel."
R08,Label scarcity does not prove the niche by F1 alone,partial,complete,outputs/results/q1_v5/calibration_staleness/calibration_staleness_summary.csv;outputs/results/q1_v542/article_ready/table_label_scarcity.csv,,Low-label/stale-calibration niche is reported with caveats and supporting diagnostics.,Trust is better than RF under all label budgets.,Use calibration staleness/transfer evidence where available; do not overread label-scarcity F1.
R09,"Need map-contamination metrics, not only false-new count",supported,complete,src/defense4uavswarm/q1_v5/map_contamination.py;outputs/results/q1_v5/operating_curves/bytetrack/operating_points_raw.csv;outputs/results/q1_v542/article_ready/table_main_bytetrack.csv,,Report observed false-track occupancy and initiation precision as map-contamination proxies.,Full tracker lifecycle occupancy is measured if only observed-row proxy exists.,Current occupancy is an observed-detection-row proxy unless a lifecycle table is available.
R10,Failure-case subgroup F1 is not standard object-level F1,closed,complete,outputs/results/q1_final_plus/failure_case_mining/failure_case_claim_safe.md;outputs/results/q1_final_plus/failure_case_mining/failure_by_tracklet_persistence.csv,,Failure-case tables are candidate-level diagnostics.,Subgroup diagnostics are standard object-level F1 or speed robustness.,Motion proxy was replaced with tracklet-persistence bins.
R11,Five seeds are not independent scene repeats,partial,complete,outputs/results/q1_final_plus/simple_fusion_baselines/simple_fusion_claim_safe.md,,"Repeated seeds are deterministic confidence-perturbation trials, not independent scenes.",Five seeds prove independent simulation reproducibility.,Use as sensitivity evidence only.
R12,Algorithm must be self-contained,partial,complete,docs/REVIEWER_RESPONSE_CLAIM_SAFE_V18.md;src/defense4uavswarm/q1_v5/trust_layer.py;src/defense4uavswarm/q1_v5/initiation_gate.py,,Use the code-level contract and strict/balanced terminology for the algorithm description.,"Q=min(c,k,s) alone describes the full implementation.",A paper pseudocode block still needs to be aligned with the code.
R13,Runtime claims need decomposition,partial,complete,outputs/results/q1_final_plus/runtime_vectorization/runtime_vectorization_summary.csv;outputs/results/q1_final_plus/runtime_vectorization/runtime_vectorization_claim_safe.md,,Runtime is implementation-dependent; vectorized aggregation is a microbenchmark over prepared features.,5 ms/frame is generally acceptable for UAV deployment.,Full detector/tracker runtime is not benchmarked here.
R14,Reproducibility bundle must be auditable,supported,complete,outputs/bundles/Defense4UAVSwarm_q1_final_plus_v18_practice_bundle.zip;reproducibility/q1_v5/manifest.json;reproducibility/q1_v5/table_figure_mapping.csv,,"The bundle provides scripts, selected outputs, manifest/checksum references, and claim-safe notes.","The bundle alone contains raw images, detector JSON, and all external dependencies.",Heavy inputs remain outside the slim bundle.
